Id,Name,Type,Price,Metacritic,Recommendations,Year,Playtime,AchievCount,AchievDone,Icon,Logo
280,Half-Life: Source,game,819,,3642,2004,967,0,0,b4f572a6cc5a6a84ae84634c31414b9123d2f26b,a612dd944b768e55389140298dcfda2165db8ced
360,Half-Life Deathmatch: Source,game,819,,1289,2006,0,0,0,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,9a5b7119d4e8977fffcd370d3c24036be7cee904
320,Half-Life 2: Deathmatch,game,399,,3858,2004,0,0,0,795e85364189511f4990861b578084deef086cb1,6dd9f66771300f2252d411e50739a1ceae9e5b30
20,Team Fortress Classic,game,399,,2604,1999,4,0,0,38ea7ebe3c1abbbbf4eabdbef174c41a972102b9,515bc393c861d91b9165f0697040c015f50bcb5e
50,Half-Life: Opposing Force,game,399,,3995,1999,617,0,0,04e81206c10e12416908c72c5f22aad411b3aeef,bb696ddfd8f8ef0892d5f2154d8617528d3cc2ec
70,Half-Life,game,819,96,19696,1998,77,0,0,95be6d131fc61f145797317ca437c9765f24b41c,6bd76ff700a8c7a5460fbae3cf60cb930279897d
130,Half-Life: Blue Shift,game,399,71,3055,2001,242,0,0,b06fdee488b3220362c11704be4edad82abeed08,927d38e83e3e4ca218a0fc7b32515eeb99aa8ff7
1500,Darwinia,game,819,84,396,2005,0,0,0,912683e5813f331ef5bf9022be53922c2cb39a2a,95d9dcf203e92facca106dc081824673850ad024
1510,Uplink,game,999,75,1178,2006,0,0,0,3f24e709b546f06641586190a6a84be791161830,80982651e79b8556f04e0c0012e65f7c9b6850f2
3920,Sid Meier's Pirates!,game,999,88,2127,2005,0,0,0,eeb9384067131b98cd71308aeded180dd9538951,cffb2b01c41681c3f74d76d83926d4b4a1e66890
4000,Garry's Mod,game,999,,286449,2006,178,29,1,4a6f25cfa2426445d0d9d6e233408de4d371ce8b,93c9364c3942223ab66195182fe1982af8a16584
2620,Call of Duty,game,1999,91,1319,2006,165,0,0,b4ce47894dee6ec21b0ad96cfb2b8c0036098e39,e7e4b54c87592bba8978424ba3258b215c2497cd
2630,Call of Duty 2,game,1999,86,2039,2006,62,0,0,2e455daa8702a3cb9da8733232ec330a06936df3,1341359c59254fad618dfa599f7c5d7e82f3aade
2640,Call of Duty: United Offensive,game,1999,87,459,2006,0,0,0,e5fbc61fce98c303a9c49dc988163499b183f037,658a03d797260730790010c1d14ca060ac143a8f
6910,Deus Ex: Game of the Year Edition,game,699,90,5097,2007,0,0,0,03c8e5e89d83c536b44798e77ead5d813103991f,4b9b2932405def5c3b4053e0b801b01d04965bf6
6920,Deus Ex: Invisible War,game,699,80,864,2007,0,0,0,8feb3c4e692882dbd1f30f3a8bfe89b9928c68c1,ac3aa418680fb52a05f8d91c79ac3f86fea11732
6310,The Longest Journey,game,999,91,994,2007,0,0,0,7d6b1336162f7c26a61ffe0d456efc07d41f26cf,958177d7ecf0e96d750d0814cc40645660636434
8400,Geometry Wars: Retro Evolved,game,399,76,566,2007,0,0,0,87a445064f7e92af24d3dd1b79ec2d725d4033a2,665aa5233ba59a31ea7e477ae1cadc317d6a6deb
4560,Company of Heroes - Legacy Edition,game,1299,93,3078,2007,0,0,0,64946619217da497c9b29bc817bb40dd7d28c912,e12e8695c6766b47a089351dd9c4531e669c2a7b
228200,Company of Heroes ,game,1299,93,1130,2006,0,0,0,df92dc239acb3cf5d3e3eba645f3df2aaf7f91ad,87aa009e93d5aa56a55d0e9056708d018ddd6483
9180,Commander Keen Complete Pack,game,499,,674,2007,65,0,0,6d040ab4b45315de54bf4326054eabc1f122ddee,6c439e4a1682eb3b3500d85f6a0d3fb5ae008288
2270,Wolfenstein 3D,game,499,,1504,2007,85,0,0,fe5add27cf24416c4d94e49ba31543e4907d67f0,cd53787f81b2b24b302864ad553467fb9cacefa3
9000,Wolfenstein 3D: Spear of Destiny,game,299,,204,2007,65,0,0,27e4195991ea840384b5182c530895c2ef0331f1,79cc8754740821af8705919e41e7ee07117a2184
9010,Return to Castle Wolfenstein,game,499,88,2674,2007,1019,0,0,5a588b9863f6e2a8e6dfb8a9c5217e7e90b5406d,d61fc167066cc4a36df12a57b93f3a4b75e7d64f
2310,Quake,game,499,94,2253,2007,473,0,0,e5bdf8dc7759c573fe525d45b69011f6a173a984,ed202cb854161c4521c3906b2763d2e664ddd4ff
2200,Quake III Arena,game,1499,,1107,2007,0,0,0,bf6cde8c939be8c50d1efcabf4cdd9b44c5c11c7,1790d2672b3de3a9aa57e0f41bccf8d4b4285c46
2320,Quake II,game,499,,1169,2007,0,0,0,f4f8eda991901eae74562c30ba6e68715e3d6dcf,a53f37bf4e03ffd521d66d1bde71f63bdcf5fbb7
2330,Quake II: The Reckoning,game,299,,,2007,0,0,0,5bd6e22ffdf72fdfb5ce2092fa50150de5fbb56f,ade5717c83cd41bd7c3f2c8baee8630eafd57444
2340,Quake II: Ground Zero,game,299,,,2007,0,0,0,5bd6e22ffdf72fdfb5ce2092fa50150de5fbb56f,6a44d0445ff6c8d69f8aa4b1b58095566ab53a75
2350,Quake III: Team Arena,game,1499,69,112,2007,0,0,0,95327dd5e7e4e79e275a220d9043e574cb518977,9cb36376ea8acbe0ae21e0df50fbd0c2ce87c5a7
9030,Quake Mission Pack 2: Dissolution of Eternity,game,299,,122,2007,0,0,0,2a978a654d44f38fc2206753c35306e327477e2f,ad838716147b9fbe5e2c16807a218408a87ed2b4
9040,Quake Mission Pack 1: Scourge of Armagon,game,299,,175,2007,831,0,0,2a978a654d44f38fc2206753c35306e327477e2f,181a1be273c70937c888d0e6b63b927aa94bcfb1
4760,Rome: Total War,game,799,92,5934,2007,221,0,0,5dc68565149dc971af6428157bcb600d80690080,134817933edf4f8d0665d456889c0315c416fff2
220,Half-Life 2,game,819,96,46040,2004,1038,33,19,fcfb366051782b8ebf2aa297f3b746395858cb62,e4ad9cf1b7dc8475c1118625daf9abd4bdcbcad0
